Microbes,Class,Log10_LDA,p.value
Bacteroides_uniformis,IBD,4.18,0.003139341
Bacteroides_ovatus,IBD,4.1,2.69E-09
Bacteroides_fragilis,IBD,4.06,2.55E-11
Escherichia_coli,IBD,3.75,0.001917097
Lachnospiraceae_bacterium_7_1_58FAA,IBD,3.51,0.010418406
Parabacteroides_distasonis,IBD,3.46,4.13E-07
Oscillibacter_unclassified,IBD,3.39,7.11E-05
Clostridium_bolteae,IBD,3.24,8.71E-19
Ruminococcus_gnavus,IBD,3.01,2.77E-06
Clostridium_hathewayi,IBD,2.96,0.000688236
Clostridium_symbiosum,IBD,2.85,1.72E-16
Flavonifractor_plautii,IBD,2.7,5.34E-05
Subdoligranulum_unclassified,nonIBD,4.02,5.38E-24
Alistipes_putredinis,nonIBD,3.92,1.71E-27
Akkermansia_muciniphila,nonIBD,3.79,9.35E-19
Eubacterium_siraeum,nonIBD,3.69,8.34E-14
Bacteroides_dorei,nonIBD,3.47,0.000254979
Alistipes_shahii,nonIBD,3.33,3.26E-35
Alistipes_onderdonkii,nonIBD,3.22,1.77E-21
Roseburia_hominis,nonIBD,3.15,8.03E-19
Bilophila_unclassified,nonIBD,3.13,3.25E-10
Lachnospiraceae_bacterium_3_1_46FAA,nonIBD,3.1,0.007748176
Roseburia_inulinivorans,nonIBD,2.91,1.17E-10
Alistipes_finegoldii,nonIBD,2.88,4.05E-19
Clostridium_leptum,nonIBD,2.86,5.66E-12
Eubacterium_ventriosum,nonIBD,2.54,6.19E-17
